date,forecast
2025-12-31,493.56848128731576
2026-01-01,495.36966369584115
2026-01-02,493.0666588290427
2026-01-03,493.8200151108224
2026-01-04,493.22808402015545
2026-01-05,499.49709815838713
2026-01-06,493.4752384790001
2026-01-07,494.31068621701996
2026-01-08,493.68433880165946
2026-01-09,494.8414820085638
2026-01-10,493.4632178720245
2026-01-11,494.2322618672753
2026-01-12,498.3322969867152
2026-01-13,494.4774012149848
2026-01-14,494.31068621701996
2026-01-15,493.95478677222343
2026-01-16,492.68172517001386
2026-01-17,492.13581986534945
2026-01-18,492.1416408701801
2026-01-19,498.54039086252675
2026-01-20,494.7006610104016
2026-01-21,494.31068621701996
2026-01-22,493.95478677222343
2026-01-23,492.68172517001386
2026-01-24,492.13581986534945
2026-01-25,492.1416408701801
2026-01-26,498.54039086252675
2026-01-27,494.7006610104016
2026-01-28,494.31068621701996
2026-01-29,493.95478677222343
